"TOOL_URL","TOOL_IDENTIFIER","COUNTRY","CR","LANGUAGE","LR"
"//creativecommons.org/licenses/by-nd/3.0/ph","CC BY-ND 3.0 PH","","","",""
"//creativecommons.org/licenses/by-sa/3.0/ph","CC BY-SA 3.0 PH","","","",""
"//creativecommons.org/licenses/by/3.0/pl","CC BY 3.0 PL","","","",""
"//creativecommons.org/licenses/by-nc/3.0/pl","CC BY-NC 3.0 PL","","","",""
"//creativecommons.org/licenses/by-nc-nd/3.0/pl","CC BY-NC-ND 3.0 PL","","","",""
"//creativecommons.org/licenses/by-nc-sa/3.0/pl","CC BY-NC-SA 3.0 PL","","","",""
"//creativecommons.org/licenses/by-nd/3.0/pl","CC BY-ND 3.0 PL","","","",""
"//creativecommons.org/licenses/by-sa/3.0/pl","CC BY-SA 3.0 PL","","","",""
"//creativecommons.org/licenses/by/3.0/pr","CC BY 3.0 PR","","","",""
"//creativecommons.org/licenses/by-nc/3.0/pr","CC BY-NC 3.0 PR","","","",""
"//creativecommons.org/licenses/by-nc-nd/3.0/pr","CC BY-NC-ND 3.0 PR","","","",""
"//creativecommons.org/licenses/by-nc-sa/3.0/pr","CC BY-NC-SA 3.0 PR","","","",""
"//creativecommons.org/licenses/by-nd/3.0/pr","CC BY-ND 3.0 PR","","","",""
"//creativecommons.org/licenses/by-sa/3.0/pr","CC BY-SA 3.0 PR","","","",""
"//creativecommons.org/licenses/by/3.0/pt","CC BY 3.0 PT","","","",""
"//creativecommons.org/licenses/by-nc/3.0/pt","CC BY-NC 3.0 PT","","","",""
"//creativecommons.org/licenses/by-nc-nd/3.0/pt","CC BY-NC-ND 3.0 PT","","","",""
"//creativecommons.org/licenses/by-nc-sa/3.0/pt","CC BY-NC-SA 3.0 PT","","","",""
"//creativecommons.org/licenses/by-nd/3.0/pt","CC BY-ND 3.0 PT","","","",""
"//creativecommons.org/licenses/by-sa/3.0/pt","CC BY-SA 3.0 PT","","","",""
"//creativecommons.org/licenses/by/3.0/ro","CC BY 3.0 RO","","","",""
"//creativecommons.org/licenses/by-nc/3.0/ro","CC BY-NC 3.0 RO","","","",""
"//creativecommons.org/licenses/by-nc-nd/3.0/ro","CC BY-NC-ND 3.0 RO","","","",""
"//creativecommons.org/licenses/by-nc-sa/3.0/ro","CC BY-NC-SA 3.0 RO","","","",""
"//creativecommons.org/licenses/by-nd/3.0/ro","CC BY-ND 3.0 RO","","","",""
"//creativecommons.org/licenses/by-sa/3.0/ro","CC BY-SA 3.0 RO","","","",""
"//creativecommons.org/licenses/by/3.0/rs","CC BY 3.0 RS","","","",""
"//creativecommons.org/licenses/by-nc/3.0/rs","CC BY-NC 3.0 RS","","","",""
"//creativecommons.org/licenses/by-nc-nd/3.0/rs","CC BY-NC-ND 3.0 RS","","","",""
"//creativecommons.org/licenses/by-nc-sa/3.0/rs","CC BY-NC-SA 3.0 RS","","","",""
"//creativecommons.org/licenses/by-nd/3.0/rs","CC BY-ND 3.0 RS","","","",""
"//creativecommons.org/licenses/by-sa/3.0/rs","CC BY-SA 3.0 RS","","","",""
"//creativecommons.org/licenses/by/3.0/sg","CC BY 3.0 SG","","","",""
"//creativecommons.org/licenses/by-nc/3.0/sg","CC BY-NC 3.0 SG","","","",""
"//creativecommons.org/licenses/by-nc-nd/3.0/sg","CC BY-NC-ND 3.0 SG","","","",""
"//creativecommons.org/licenses/by-nc-sa/3.0/sg","CC BY-NC-SA 3.0 SG","","","",""
"//creativecommons.org/licenses/by-nd/3.0/sg","CC BY-ND 3.0 SG","","","",""
"//creativecommons.org/licenses/by-sa/3.0/sg","CC BY-SA 3.0 SG","","","",""
"//creativecommons.org/licenses/by/3.0/th","CC BY 3.0 TH","","","",""
"//creativecommons.org/licenses/by-nc/3.0/th","CC BY-NC 3.0 TH","","","",""
"//creativecommons.org/licenses/by-nc-nd/3.0/th","CC BY-NC-ND 3.0 TH","","","",""
"//creativecommons.org/licenses/by-nc-sa/3.0/th","CC BY-NC-SA 3.0 TH","","","",""
"//creativecommons.org/licenses/by-nd/3.0/th","CC BY-ND 3.0 TH","","","",""
"//creativecommons.org/licenses/by-sa/3.0/th","CC BY-SA 3.0 TH","","","",""
"//creativecommons.org/licenses/by/3.0/tw","CC BY 3.0 TW","","","",""
"//creativecommons.org/licenses/by-nc/3.0/tw","CC BY-NC 3.0 TW","","","",""
"//creativecommons.org/licenses/by-nc-nd/3.0/tw","CC BY-NC-ND 3.0 TW","","","",""
"//creativecommons.org/licenses/by-nc-sa/3.0/tw","CC BY-NC-SA 3.0 TW","","","",""
"//creativecommons.org/licenses/by-nd/3.0/tw","CC BY-ND 3.0 TW","","","",""
"//creativecommons.org/licenses/by-sa/3.0/tw","CC BY-SA 3.0 TW","","","",""
"//creativecommons.org/licenses/by/3.0/ug","CC BY 3.0 UG","","","",""
"//creativecommons.org/licenses/by-nc/3.0/ug","CC BY-NC 3.0 UG","","","",""
"//creativecommons.org/licenses/by-nc-nd/3.0/ug","CC BY-NC-ND 3.0 UG","","","",""
"//creativecommons.org/licenses/by-nc-sa/3.0/ug","CC BY-NC-SA 3.0 UG","","","",""
"//creativecommons.org/licenses/by-nd/3.0/ug","CC BY-ND 3.0 UG","","","",""
"//creativecommons.org/licenses/by-sa/3.0/ug","CC BY-SA 3.0 UG","","","",""
"//creativecommons.org/licenses/by/3.0/us","CC BY 3.0 US","","","",""
"//creativecommons.org/licenses/by-nc/3.0/us","CC BY-NC 3.0 US","","","",""
"//creativecommons.org/licenses/by-nc-nd/3.0/us","CC BY-NC-ND 3.0 US","","","",""
"//creativecommons.org/licenses/by-nc-sa/3.0/us","CC BY-NC-SA 3.0 US","","","",""
"//creativecommons.org/licenses/by-nd/3.0/us","CC BY-ND 3.0 US","","","",""
"//creativecommons.org/licenses/by-sa/3.0/us","CC BY-SA 3.0 US","","","",""
"//creativecommons.org/licenses/by/3.0/ve","CC BY 3.0 VE","","","",""
"//creativecommons.org/licenses/by-nc/3.0/ve","CC BY-NC 3.0 VE","","","",""
"//creativecommons.org/licenses/by-nc-nd/3.0/ve","CC BY-NC-ND 3.0 VE","","","",""
"//creativecommons.org/licenses/by-nc-sa/3.0/ve","CC BY-NC-SA 3.0 VE","","","",""
"//creativecommons.org/licenses/by-nd/3.0/ve","CC BY-ND 3.0 VE","","","",""
"//creativecommons.org/licenses/by-sa/3.0/ve","CC BY-SA 3.0 VE","","","",""
"//creativecommons.org/licenses/by/3.0/vn","CC BY 3.0 VN","","","",""
"//creativecommons.org/licenses/by-nc/3.0/vn","CC BY-NC 3.0 VN","","","",""
"//creativecommons.org/licenses/by-nc-nd/3.0/vn","CC BY-NC-ND 3.0 VN","","","",""
"//creativecommons.org/licenses/by-nc-sa/3.0/vn","CC BY-NC-SA 3.0 VN","","","",""
"//creativecommons.org/licenses/by-nd/3.0/vn","CC BY-ND 3.0 VN","","","",""
"//creativecommons.org/licenses/by-sa/3.0/vn","CC BY-SA 3.0 VN","","","",""
"//creativecommons.org/licenses/by/3.0/za","CC BY 3.0 ZA","","","",""
"//creativecommons.org/licenses/by-nc/3.0/za","CC BY-NC 3.0 ZA","","","",""
"//creativecommons.org/licenses/by-nc-nd/3.0/za","CC BY-NC-ND 3.0 ZA","","","",""
"//creativecommons.org/licenses/by-nc-sa/3.0/za","CC BY-NC-SA 3.0 ZA","","","",""
"//creativecommons.org/licenses/by-nd/3.0/za","CC BY-ND 3.0 ZA","","","",""
"//creativecommons.org/licenses/by-sa/3.0/za","CC BY-SA 3.0 ZA","","","",""
"//creativecommons.org/licenses/by/2.5/ar","CC BY 2.5 AR","","","",""
"//creativecommons.org/licenses/by-nc/2.5/ar","CC BY-NC 2.5 AR","","","",""
"//creativecommons.org/licenses/by-nc-nd/2.5/ar","CC BY-NC-ND 2.5 AR","","","",""
"//creativecommons.org/licenses/by-nc-sa/2.5/ar","CC BY-NC-SA 2.5 AR","","","",""
