LICENSE TYPE,0,6,12,18,24,30,36,42,48,54,60,66,72,78,84,90,96,102,108,114
licenses/by-nc-sa/2.1,8360000,31600,69600,115000,151000,180000,211000,232000,286000,286000,283000,304000,309000,365000,317000,331000,334000,308000,323000,313000
licenses/by-nd/2.1,70000000,243000,9030000,14700000,18300000,23300000,29400000,32600000,36900000,43900000,42700000,53500000,50700000,53300000,54700000,55000000,48900000,62000000,56000000,53400000
licenses/by-sa/2.1,32400000,112000,236000,745000,11100000,12500000,15500000,19200000,18600000,20500000,22200000,24600000,23700000,28500000,27400000,23900000,26200000,24300000,25200000,25600000
licenses/by/2.5,80100000,256000,7680000,12600000,16600000,21700000,29000000,41100000,39000000,42400000,49200000,59600000,59600000,60100000,59100000,62600000,60800000,58400000,61600000,61400000
licenses/by-nc/2.5,23500000,61200,135000,246000,308000,454000,10700000,12000000,12400000,15000000,16700000,16800000,17800000,18100000,18500000,18700000,18000000,17500000,19200000,19400000
licenses/by-nc-nd/2.5,27000000,69300,135000,257000,366000,1450000,11800000,12900000,15700000,15600000,17500000,17400000,18800000,19100000,21300000,20700000,21800000,19100000,18500000,20300000
licenses/by-nc-sa/2.5,8000000,30000,59400,105000,153000,178000,220000,223000,265000,290000,336000,302000,352000,296000,300000,301000,304000,336000,321000,324000
licenses/by-nd/2.5,89000000,241000,7410000,12400000,19000000,29500000,30800000,33900000,44500000,43500000,51100000,63600000,59100000,60800000,64800000,61900000,58000000,58400000,66900000,67600000
licenses/by-sa/2.5,32100000,116000,230000,384000,10100000,12600000,13700000,16900000,17900000,20800000,23400000,23300000,23100000,23100000,26100000,23800000,24000000,25600000,25300000,24700000
licenses/by/3.0,78100000,332000,8300000,12800000,17200000,23100000,27700000,30400000,37300000,36300000,39600000,46100000,46800000,47700000,52100000,48300000,47500000,55400000,51900000,58000000
licenses/by-nc/3.0,23000000,58900,105000,173000,249000,298000,349000,1990000,6710000,10200000,11100000,11900000,11200000,12400000,12500000,12200000,12400000,13300000,16100000,14700000
licenses/by-nc-nd/3.0,26000000,61000,113000,187000,231000,317000,393000,405000,6890000,9130000,12000000,11700000,11800000,13800000,14300000,730000,15700000,14000000,15000000,16000000
licenses/by-nc-sa/3.0,6920000,27700,51000,82400,112000,136000,161000,180000,198000,214000,239000,236000,245000,249000,281000,262000,267000,273000,279000,299000
licenses/by-nd/3.0,90000000,335000,7080000,14900000,17400000,23400000,28300000,43000000,36100000,37200000,42100000,45000000,44600000,46000000,52100000,53200000,49900000,53100000,50300000,51000000
licenses/by-sa/3.0,45500000,192000,319000,4740000,10900000,13000000,14500000,18300000,18700000,18800000,20100000,21100000,23800000,24200000,24700000,25300000,24500000,24300000,26200000,27000000
licenses/by/4.0,227000000,10900000,17000000,34200000,46900000,69100000,88100000,106000000,129000000,148000000,171000000,180000000,182000000,178000000,211000000,181000000,199000000,201000000,194000000,190000000
licenses/by-nc/4.0,90300000,213000,3060000,12500000,15900000,19700000,26700000,31800000,38800000,41400000,50200000,51500000,53700000,57500000,65900000,54400000,58600000,58000000,64700000,58800000
licenses/by-nc-nd/4.0,74300000,232000,1970000,11800000,17400000,25000000,30800000,33200000,40500000,41100000,52000000,58500000,64500000,66600000,61000000,56500000,62800000,60200000,56000000,58500000
licenses/by-nc-sa/4.0,31100000,83100,158000,268000,393000,9350000,12200000,13100000,14600000,16900000,19000000,19500000,24300000,20500000,21700000,21400000,22500000,21900000,23700000,22200000
licenses/by-nd/4.0,213000000,10300000,19000000,39900000,50300000,63600000,95300000,111000000,119000000,153000000,182000000,163000000,178000000,231000000,215000000,218000000,213000000,214000000,189000000,195000000
licenses/by-sa/4.0,124000000,3330000,11800000,17200000,26900000,35500000,42900000,54000000,69600000,72600000,84400000,89600000,88000000,88700000,90400000,101000000,95500000,97600000,98100000,89100000
publicdomain/mark/1.0,17400000,95900,196000,252000,336000,3940000,4240000,4440000,7100000,8150000,8800000,9900000,9860000,10100000,10500000,11200000,11000000,11200000,11300000,12000000
publicdomain/zero/1.0,39200000,107000,202000,303000,4290000,9580000,13100000,16900000,17700000,20100000,5270000,24500000,25400000,25500000,26200000,27700000,27300000,27400000,28000000,28800000
