pages,articles,edits,images,users,activeusers,admins,jobs,cirrussearch-article-words,queued-massmessages,language
25990,8575,242080,0,32654,91,1,0,2313904,0,so
264503,86402,2475180,4732,144991,217,11,0,30386945,0,sq
3994539,663531,25220464,36794,312942,746,19,0,171428441,0,sr
2731,1113,39180,0,7089,10,1,0,100214,0,srn
2435,590,38150,0,7691,14,3,0,73362,0,ss
4259,845,28484,0,9511,14,1,0,138244,0,st
10701,4066,121230,429,12616,15,5,0,657351,0,stq
97458,61302,629876,545,28636,52,7,0,6403610,0,su
6129060,2554064,51152058,0,837246,2088,67,0,486430550,0,sv
154083,75208,1249735,2274,55985,184,14,0,11345788,0,sw
69208,55901,348114,0,21986,40,3,0,5605568,0,szl
5395,2058,128990,0,2370,23,1,0,1752380,0,szy
469347,149159,3518925,7665,209592,316,31,0,41645667,0,ta
2835,2425,54220,0,1160,9,0,0,383315,0,tay
9093,1748,103426,2,4994,20,2,0,607455,0,tcy
308584,78717,3662991,12977,115587,188,13,0,37312229,0,te
3912,1503,66667,0,8978,15,2,0,236527,0,tet
263159,107731,1312513,485,36570,72,6,0,9597361,0,tg
982353,150288,10305544,27106,433199,1072,15,0,95072241,0,th
2741,238,23929,0,8532,16,2,0,45500,0,ti
15988,6458,232241,321,25048,37,3,0,1422498,0,tk
234817,43266,1969735,1896,125092,152,11,0,14765116,0,tl
3953,783,29223,4,9334,13,1,0,252715,0,tn
5341,1912,41705,12,9308,10,2,0,170184,0,to
5681,1351,86648,0,12476,11,1,0,71732,0,tpi
2424012,523449,28577689,37746,1431342,2853,24,0,138351518,0,tr
2065,1110,86638,0,1244,17,0,0,742315,0,trv
3768,720,36713,0,8904,12,2,0,162273,0,ts
566736,417777,3548142,6129,43651,84,5,0,84048193,0,tt
10132,7315,37008,1,7257,25,2,0,814364,0,tum
5121,2148,94352,0,14018,24,2,0,718598,0,tw
2993,1217,53093,0,6912,6,2,0,27824,0,ty
11315,3368,43593,0,8164,13,1,0,1075710,0,tyv
17596,5343,121865,9,13916,23,4,0,519587,0,udm
14972,5402,154884,185,20024,36,2,0,2650057,0,ug
4164696,1198887,37179627,110316,647053,3250,46,0,424748016,0,uk
1003570,178183,5158696,12726,151801,316,11,0,42782384,0,ur
718489,178021,2985543,2167,80054,803,20,0,40094264,0,uz
2236,748,19313,0,7264,13,1,0,43470,0,ve
140584,69035,1102390,724,32354,29,5,0,7979240,0,vec
31298,6697,153580,0,14574,28,1,0,1348185,0,vep
19383579,1276703,69106142,24669,882323,1878,20,0,309448657,0,vi
21274,7657,309898,480,24812,22,5,0,1636875,0,vls
154246,32134,3277776,0,32598,31,2,0,2505923,0,vo
27375,11617,389549,616,22464,36,4,0,1921696,0,wa
2881816,1265959,6288125,42,53283,87,3,0,148853156,0,war
5371,1650,104539,0,14026,18,3,0,660432,0,wo
56275,42556,298408,132,79405,50,4,0,4004743,0,wuu
11912,2047,85162,0,9320,15,1,0,123276,0,xal
3836,1241,33979,0,11869,21,1,0,275611,0,xh
36675,19702,188538,0,17272,29,3,0,1892556,0,xmf
44261,15399,580008,1062,45903,45,3,0,3427156,0,yi
55553,31862,556106,168,25206,79,3,0,2352873,0,yo
4145,2012,39375,0,9824,14,1,0,111248,0,za
10029,5263,122857,1,12169,18,3,0,851208,0,zea
7168801,1309338,73623773,61228,3267763,8192,66,0,615069403,0,zh
97869,11665,382829,0,95152,58,6,0,2576461,0,zh-classical
1063856,431846,3141531,335,54541,93,6,0,25727153,0,zh-min-nan
287684,128005,1889366,2631,245730,271,13,0,21013090,0,zh-yue
23995,10586,96901,0,17874,29,1,0,814068,0,zu
