"PLAN_INDEX","TOOL_IDENTIFIER","COUNT"
"244","CC BY 3.0 RS","33200000"
"245","CC BY-NC 3.0 RS","6010000"
"246","CC BY-NC-ND 3.0 RS","2970000"
"247","CC BY-NC-SA 3.0 RS","771000"
"248","CC BY-ND 3.0 RS","27400000"
"249","CC BY-SA 3.0 RS","10900000"
"250","CC BY 3.0 SG","28900000"
"251","CC BY-NC 3.0 SG","1620000"
"252","CC BY-NC-ND 3.0 SG","1020000"
"253","CC BY-NC-SA 3.0 SG","624000"
"254","CC BY-ND 3.0 SG","26300000"
"255","CC BY-SA 3.0 SG","12600000"
"256","CC BY 3.0 TH","201000000"
"257","CC BY-NC 3.0 TH","55000000"
"258","CC BY-NC-ND 3.0 TH","47600000"
"259","CC BY-NC-SA 3.0 TH","21800000"
"260","CC BY-ND 3.0 TH","172000000"
"261","CC BY-SA 3.0 TH","93000000"
"262","CC BY 3.0 TW","93300000"
"263","CC BY-NC 3.0 TW","23100000"
"264","CC BY-NC-ND 3.0 TW","20200000"
"265","CC BY-NC-SA 3.0 TW","4830000"
"266","CC BY-ND 3.0 TW","92800000"
"267","CC BY-SA 3.0 TW","32000000"
"268","CC BY 3.0 UG","95100000"
"269","CC BY-NC 3.0 UG","20900000"
"270","CC BY-NC-ND 3.0 UG","719000"
"271","CC BY-NC-SA 3.0 UG","7510000"
"272","CC BY-ND 3.0 UG","21100000"
"273","CC BY-SA 3.0 UG","37500000"
"274","CC BY 3.0 US","513000000"
"275","CC BY-NC 3.0 US","153000000"
"276","CC BY-NC-ND 3.0 US","25000000"
"277","CC BY-NC-SA 3.0 US","66000000"
"278","CC BY-ND 3.0 US","135000000"
"279","CC BY-SA 3.0 US","240000000"
"280","CC BY 3.0 VE","182000000"
"281","CC BY-NC 3.0 VE","42400000"
"282","CC BY-NC-ND 3.0 VE","42400000"
"283","CC BY-NC-SA 3.0 VE","20100000"
"284","CC BY-ND 3.0 VE","164000000"
"285","CC BY-SA 3.0 VE","86000000"
"286","CC BY 3.0 VN","4840000"
"287","CC BY-NC 3.0 VN","278000"
"288","CC BY-NC-ND 3.0 VN","239000"
"289","CC BY-NC-SA 3.0 VN","178000"
"290","CC BY-ND 3.0 VN","3260000"
"291","CC BY-SA 3.0 VN","544000"
"292","CC BY 3.0 ZA","4570000"
"293","CC BY-NC 3.0 ZA","314000"
"294","CC BY-NC-ND 3.0 ZA","269000"
"295","CC BY-NC-SA 3.0 ZA","214000"
"296","CC BY-ND 3.0 ZA","2170000"
"297","CC BY-SA 3.0 ZA","770000"
"298","CC BY 2.5 AR","77600000"
"299","CC BY-NC 2.5 AR","14100000"
"300","CC BY-NC-ND 2.5 AR","16000000"
"301","CC BY-NC-SA 2.5 AR","6000000"
"302","CC BY-ND 2.5 AR","13300000"
"303","CC BY-SA 2.5 AR","35000000"
"304","CC BY 2.5 AU","53900000"
"305","CC BY-NC 2.5 AU","7330000"
"306","CC BY-NC-ND 2.5 AU","7280000"
"307","CC BY-NC-SA 2.5 AU","842000"
"308","CC BY-ND 2.5 AU","6080000"
"309","CC BY-SA 2.5 AU","23500000"
"310","CC BY 2.5 BG","37300000"
"311","CC BY-NC 2.5 BG","5160000"
"312","CC BY-NC-ND 2.5 BG","5160000"
"313","CC BY-NC-SA 2.5 BG","665000"
"314","CC BY-ND 2.5 BG","37300000"
"315","CC BY-SA 2.5 BG","18100000"
"316","CC BY 2.5 BR","63200000"
"317","CC BY-NC 2.5 BR","13400000"
"318","CC BY-NC-ND 2.5 BR","13400000"
"319","CC BY-NC-SA 2.5 BR","1670000"
"320","CC BY-ND 2.5 BR","63200000"
"321","CC BY-SA 2.5 BR","26000000"
"322","CC BY 2.5 CA","150000000"
"323","CC BY-NC 2.5 CA","33800000"
"324","CC BY-NC-ND 2.5 CA","30900000"
"325","CC BY-NC-SA 2.5 CA","14000000"
"326","CC BY-ND 2.5 CA","154000000"
"327","CC BY-SA 2.5 CA","75000000"
"328","CC BY 2.5 CH","118000000"
"329","CC BY-NC 2.5 CH","22900000"
"330","CC BY-NC-ND 2.5 CH","20700000"
"331","CC BY-NC-SA 2.5 CH","9130000"
"332","CC BY-ND 2.5 CH","118000000"
"333","CC BY-SA 2.5 CH","46900000"
"334","CC BY 2.5 CN","29800000"
"335","CC BY-NC 2.5 CN","3670000"
"336","CC BY-NC-ND 2.5 CN","3510000"
"337","CC BY-NC-SA 2.5 CN","537000"
"338","CC BY-ND 2.5 CN","29900000"
"339","CC BY-SA 2.5 CN","14200000"
"340","CC BY 2.5 CO","176000000"
"341","CC BY-NC 2.5 CO","33400000"
"342","CC BY-NC-ND 2.5 CO","37200000"
"343","CC BY-NC-SA 2.5 CO","16200000"
"344","CC BY-ND 2.5 CO","174000000"
"345","CC BY-SA 2.5 CO","78500000"
"346","CC BY 2.5 DK","24400000"
"347","CC BY-NC 2.5 DK","833000"
"348","CC BY-NC-ND 2.5 DK","833000"
"349","CC BY-NC-SA 2.5 DK","385000"
"350","CC BY-ND 2.5 DK","24400000"
"351","CC BY-SA 2.5 DK","11200000"
"352","CC BY 2.5 ES","51100000"
"353","CC BY-NC 2.5 ES","9520000"
"354","CC BY-NC-ND 2.5 ES","9490000"
"355","CC BY-NC-SA 2.5 ES","1550000"
"356","CC BY-ND 2.5 ES","50400000"
"357","CC BY-SA 2.5 ES","22600000"
"358","CC BY 2.5 HR","94000000"
"359","CC BY-NC 2.5 HR","18600000"
"360","CC BY-NC-ND 2.5 HR","18600000"
"361","CC BY-NC-SA 2.5 HR","6080000"
"362","CC BY-ND 2.5 HR","94000000"
"363","CC BY-SA 2.5 HR","34100000"
"364","CC BY 2.5 HU","69400000"
"365","CC BY-NC 2.5 HU","14500000"
"366","CC BY-NC-ND 2.5 HU","14500000"
"367","CC BY-NC-SA 2.5 HU","1690000"
"368","CC BY-ND 2.5 HU","69300000"
"369","CC BY-SA 2.5 HU","30000000"
"370","CC BY 2.5 IL","43700000"
"371","CC BY-NC 2.5 IL","9590000"
"372","CC BY-NC-ND 2.5 IL","9560000"
"373","CC BY-NC-SA 2.5 IL","959000"
"374","CC BY-ND 2.5 IL","43400000"
"375","CC BY-SA 2.5 IL","21000000"
"376","CC BY 2.5 IN","216000000"
"377","CC BY-NC 2.5 IN","55800000"
"378","CC BY-NC-ND 2.5 IN","60200000"
"379","CC BY-NC-SA 2.5 IN","21700000"
"380","CC BY-ND 2.5 IN","215000000"
"381","CC BY-SA 2.5 IN","107000000"
"382","CC BY 2.5 IT","215000000"
"383","CC BY-NC 2.5 IT","60300000"
"384","CC BY-NC-ND 2.5 IT","55900000"
"385","CC BY-NC-SA 2.5 IT","21700000"
"386","CC BY-ND 2.5 IT","42200000"
"387","CC BY-SA 2.5 IT","108000000"
"388","CC BY 2.5 MK","43400000"
"389","CC BY-NC 2.5 MK","7250000"
"390","CC BY-NC-ND 2.5 MK","7250000"
"391","CC BY-NC-SA 2.5 MK","725000"
"392","CC BY-ND 2.5 MK","43400000"
"393","CC BY-SA 2.5 MK","21700000"
"394","CC BY 2.5 MT","57200000"
"395","CC BY-NC 2.5 MT","11100000"
"396","CC BY-NC-ND 2.5 MT","11100000"
"397","CC BY-NC-SA 2.5 MT","1200000"
"398","CC BY-ND 2.5 MT","57200000"
"399","CC BY-SA 2.5 MT","25900000"
"400","CC BY 2.5 MX","15000000"
"401","CC BY-NC 2.5 MX","529000"
"402","CC BY-NC-ND 2.5 MX","525000"
"403","CC BY-NC-SA 2.5 MX","258000"
"404","CC BY-ND 2.5 MX","15000000"
"405","CC BY-SA 2.5 MX","1860000"
"406","CC BY 2.5 MY","143000000"
"407","CC BY-NC 2.5 MY","18400000"
"408","CC BY-NC-ND 2.5 MY","18400000"
"409","CC BY-NC-SA 2.5 MY","4260000"
"410","CC BY-ND 2.5 MY","143000000"
"411","CC BY-SA 2.5 MY","43000000"
"412","CC BY 2.5 NL","21700000"
"413","CC BY-NC 2.5 NL","747000"
"414","CC BY-NC-ND 2.5 NL","744000"
"415","CC BY-NC-SA 2.5 NL","377000"
"416","CC BY-ND 2.5 NL","21400000"
"417","CC BY-SA 2.5 NL","9800000"
"418","CC BY 2.5 PE","30800000"
"419","CC BY-NC 2.5 PE","3670000"
"420","CC BY-NC-ND 2.5 PE","3670000"
"421","CC BY-NC-SA 2.5 PE","778000"
"422","CC BY-ND 2.5 PE","30800000"
"423","CC BY-SA 2.5 PE","15000000"
"424","CC BY 2.5 PL","30300000"
"425","CC BY-NC 2.5 PL","1950000"
"426","CC BY-NC-ND 2.5 PL","1950000"
"427","CC BY-NC-SA 2.5 PL","684000"
"428","CC BY-ND 2.5 PL","30000000"
"429","CC BY-SA 2.5 PL","15800000"
"430","CC BY 2.5 PT","160000000"
"431","CC BY-NC 2.5 PT","32200000"
"432","CC BY-NC-ND 2.5 PT","32200000"
"433","CC BY-NC-SA 2.5 PT","13800000"
"434","CC BY-ND 2.5 PT","160000000"
"435","CC BY-SA 2.5 PT","72500000"
"436","CC BY 2.5 SCOTLAND","473000"
"437","CC BY-NC 2.5 SCOTLAND","145000"
"438","CC BY-NC-ND 2.5 SCOTLAND","145000"
"439","CC BY-NC-SA 2.5 SCOTLAND","90600"
"440","CC BY-ND 2.5 SCOTLAND","474000"
"441","CC BY-SA 2.5 SCOTLAND","225000"
"442","CC BY 2.5 SE","86500000"
"443","CC BY-NC 2.5 SE","18500000"
"444","CC BY-NC-ND 2.5 SE","18500000"
"445","CC BY-NC-SA 2.5 SE","7010000"
"446","CC BY-ND 2.5 SE","85700000"
"447","CC BY-SA 2.5 SE","38200000"
"448","CC BY 2.5 SI","43700000"
"449","CC BY-NC 2.5 SI","7180000"
"450","CC BY-NC-ND 2.5 SI","7130000"
"451","CC BY-NC-SA 2.5 SI","886000"
"452","CC BY-ND 2.5 SI","43000000"
"453","CC BY-SA 2.5 SI","20100000"
"454","CC BY 2.5 TW","17800000"
"455","CC BY-NC 2.5 TW","728000"
"456","CC BY-NC-ND 2.5 TW","728000"
"457","CC BY-NC-SA 2.5 TW","466000"
"458","CC BY-ND 2.5 TW","17800000"
"459","CC BY-SA 2.5 TW","5740000"
"460","CC BY 2.5 ZA","7070000"
"461","CC BY-NC 2.5 ZA","337000"
"462","CC BY-NC-ND 2.5 ZA","337000"
"463","CC BY-NC-SA 2.5 ZA","222000"
"464","CC BY-ND 2.5 ZA","6880000"
"465","CC BY-SA 2.5 ZA","688000"
"466","CC BY 2.1 AU","65300000"
"467","CC BY-NC 2.1 AU","10900000"
"468","CC BY-NC-ND 2.1 AU","10700000"
"469","CC BY-NC-SA 2.1 AU","1400000"
"470","CC BY-ND 2.1 AU","65100000"
"471","CC BY-SA 2.1 AU","28600000"
"472","CC BY 2.1 CA","151000000"
"473","CC BY-NC 2.1 CA","32200000"
"474","CC BY-NC-ND 2.1 CA","31900000"
"475","CC BY-NC-SA 2.1 CA","16600000"
"476","CC BY-ND 2.1 CA","151000000"
"477","CC BY-SA 2.1 CA","82900000"
"478","CC BY 2.1 ES","55900000"
"479","CC BY-NC 2.1 ES","10200000"
"480","CC BY-NC-ND 2.1 ES","9930000"
"481","CC BY-NC-SA 2.1 ES","2100000"
"482","CC BY-ND 2.1 ES","55400000"
"483","CC BY-SA 2.1 ES","26300000"
"484","CC BY 2.1 JP","122000000"
"485","CC BY-NC 2.1 JP","24500000"
"486","CC BY-NC-ND 2.1 JP","24400000"
"487","CC BY-NC-SA 2.1 JP","11900000"
"488","CC BY-ND 2.1 JP","122000000"
"489","CC BY-SA 2.1 JP","52800000"
"490","CC BY 2.0 AT","594000000"
"491","CC BY-NC 2.0 AT","186000000"
"492","CC BY-NC-ND 2.0 AT","185000000"
"493","CC BY-NC-SA 2.0 AT","99000000"
"494","CC BY-ND 2.0 AT","155000000"
"495","CC BY-SA 2.0 AT","274000000"
"496","CC BY 2.0 AU","195000000"
"497","CC BY-NC 2.0 AU","44100000"
"498","CC BY-NC-ND 2.0 AU","44100000"
"499","CC BY-NC-SA 2.0 AU","17200000"
"500","CC BY-ND 2.0 AU","34300000"
"501","CC BY-SA 2.0 AU","94100000"
"502","CC BY 2.0 BE","595000000"
"503","CC BY-NC 2.0 BE","180000000"
"504","CC BY-NC-ND 2.0 BE","185000000"
"505","CC BY-NC-SA 2.0 BE","98800000"
"506","CC BY-ND 2.0 BE","154000000"
"507","CC BY-SA 2.0 BE","274000000"
"508","CC BY 2.0 BR","32700000"
"509","CC BY-NC 2.0 BR","5120000"
"510","CC BY-NC-ND 2.0 BR","5160000"
"511","CC BY-NC-SA 2.0 BR","785000"
"512","CC BY-ND 2.0 BR","1300000"
"513","CC BY-SA 2.0 BR","14900000"
"514","CC BY 2.0 CA","105000000"
"515","CC BY-NC 2.0 CA","21000000"
"516","CC BY-NC-ND 2.0 CA","21100000"
"517","CC BY-NC-SA 2.0 CA","6130000"
"518","CC BY-ND 2.0 CA","16200000"
"519","CC BY-SA 2.0 CA","40700000"
"520","CC BY 2.0 CL","179000000"
"521","CC BY-NC 2.0 CL","48800000"
"522","CC BY-NC-ND 2.0 CL","48700000"
"523","CC BY-NC-SA 2.0 CL","22500000"
"524","CC BY-ND 2.0 CL","33900000"
"525","CC BY-SA 2.0 CL","108000000"
"526","CC BY 2.0 DE","447000000"
"527","CC BY-NC 2.0 DE","153000000"
"528","CC BY-NC-ND 2.0 DE","148000000"
"529","CC BY-NC-SA 2.0 DE","78600000"
"530","CC BY-ND 2.0 DE","124000000"
"531","CC BY-SA 2.0 DE","236000000"
"532","CC BY 2.0 ES","182000000"
"533","CC BY-NC 2.0 ES","45800000"
"534","CC BY-NC-ND 2.0 ES","45300000"
"535","CC BY-NC-SA 2.0 ES","20100000"
"536","CC BY-ND 2.0 ES","38500000"
"537","CC BY-SA 2.0 ES","102000000"
"538","CC BY 2.0 FR","166000000"
"539","CC BY-NC 2.0 FR","32400000"
"540","CC BY-NC-ND 2.0 FR","29900000"
"541","CC BY-NC-SA 2.0 FR","11900000"
"542","CC BY-ND 2.0 FR","24600000"
"543","CC BY-SA 2.0 FR","67000000"
"544","CC BY 2.0 HR","206000000"
"545","CC BY-NC 2.0 HR","58500000"
"546","CC BY-NC-ND 2.0 HR","58500000"
"547","CC BY-NC-SA 2.0 HR","21300000"
"548","CC BY-ND 2.0 HR","38000000"
"549","CC BY-SA 2.0 HR","112000000"
"550","CC BY 2.0 IT","594000000"
"551","CC BY-NC 2.0 IT","185000000"
"552","CC BY-NC-ND 2.0 IT","185000000"
"553","CC BY-NC-SA 2.0 IT","98800000"
"554","CC BY-ND 2.0 IT","154000000"
"555","CC BY-SA 2.0 IT","280000000"
"556","CC BY 2.0 JP","82000000"
"557","CC BY-NC 2.0 JP","15700000"
"558","CC BY-NC-ND 2.0 JP","15700000"
"559","CC BY-NC-SA 2.0 JP","6170000"
"560","CC BY-ND 2.0 JP","11300000"
"561","CC BY-ND-NC 2.0 JP","743000"
"562","CC BY-SA 2.0 JP","29500000"
"563","CC BY 2.0 KR","15600000"
"564","CC BY-NC 2.0 KR","629000"
"565","CC BY-NC-ND 2.0 KR","629000"
"566","CC BY-NC-SA 2.0 KR","289000"
"567","CC BY-ND 2.0 KR","554000"
"568","CC BY-SA 2.0 KR","2790000"
"569","CC BY 2.0 NL","14500000"
"570","CC BY-NC 2.0 NL","449000"
"571","CC BY-NC-ND 2.0 NL","445000"
"572","CC BY-NC-SA 2.0 NL","320000"
"573","CC BY-ND 2.0 NL","440000"
"574","CC BY-SA 2.0 NL","5150000"
"575","CC BY 2.0 PL","20400000"
"576","CC BY-NC 2.0 PL","714000"
"577","CC BY-NC-ND 2.0 PL","714000"
"578","CC BY-NC-SA 2.0 PL","555000"
