"LANGUAGE_CODE","LANGUAGE_NAME_EN","LANGUAGE_NAME","COUNT"
"mos","Mossi","moore","1312"
"mr","Marathi","मराठी","101259"
"mrj","Western Mari","кырык мары","10430"
"ms","Malay","Bahasa Melayu","436448"
"mt","Maltese","Malti","7714"
"mus","Muscogee","Mvskoke","1"
"mwl","Mirandese","Mirandés","4285"
"my","Burmese","မြန်မာဘာသာ","110139"
"myv","Erzya","эрзянь","7871"
"mzn","Mazanderani","مازِرونی","64570"
"nah","Nahuatl","Nāhuatl","4163"
"nan","Minnan","閩南語 / Bân-lâm-gí","433910"
"nap","Neapolitan","Napulitano","14945"
"nds","Low German","Plattdüütsch","85792"
"nds-nl","Low Saxon","Nedersaksies","8077"
"ne","Nepali","नेपाली","29457"
"new","Newari","नेपाल भाषा","73419"
"ng","Ndonga","Oshiwambo","8"
"nia","Nias","Li Niha","1766"
"nl","Dutch","Nederlands","2211026"
"nn","Norwegian Nynorsk","norsk nynorsk","177225"
"no","Norwegian","norsk","671026"
"nov","Novial","Novial","2068"
"nqo","N’Ko","ߒߞߏ","1587"
"nr","South Ndebele","isiNdebele seSewula","286"
"nrm","Norman","Nouormand","5058"
"nso","Northern Sotho","Sesotho sa Leboa","8787"
"nup","Nupe","Nupe","603"
"nv","Navajo","Diné bizaad","22664"
"ny","Nyanja","Chi-Chewa","1099"
"oc","Occitan","occitan","90569"
"olo","Livvi-Karelian","livvinkarjala","4676"
"om","Oromo","Oromoo","1962"
"or","Odia","ଓଡ଼ିଆ","20357"
"os","Ossetic","ирон","21539"
"pa","Punjabi","ਪੰਜਾਬੀ","59380"
"pag","Pangasinan","Pangasinan","2616"
"pam","Pampanga","Kapampangan","10207"
"pap","Papiamento","Papiamentu","5241"
"pcd","Picard","Picard","6069"
"pcm","Nigerian Pidgin","Naijá","1538"
"pdc","Pennsylvania German","Deitsch","2049"
"pfl","Palatine German","Pälzisch","2840"
"pi","Pali","पालि","301"
"pl","Polish","polski","1683904"
"pms","Piedmontese","Piemontèis","70901"
"pnb","Western Punjabi","پنجابی","75004"
"pnt","Pontic","Ποντιακά","538"
"ppl","Nawat","Nawat","236"
"ps","Pashto","پښتو","21148"
"pt","Portuguese","português","1164384"
"pwn","Paiwan","pinayuanan","376"
"qu","Quechua","Runa Simi","24428"
"rki","Arakanese","ရခိုင်","1086"
"rm","Romansh","rumantsch","3820"
"rmy","Vlax Romani","romani čhib","756"
"rn","Rundi","ikirundi","703"
"ro","Romanian","română","538787"
"roa-tara","Tarantino","tarandíne","9505"
"rsk","Pannonian Rusyn","руски","1112"
"ru","Russian","русский","2084356"
"rue","Rusyn","русиньскый","10194"
"rup","Aromanian","armãneashti","1390"
"rw","Kinyarwanda","Ikinyarwanda","8939"
"sa","Sanskrit","संस्कृतम्","12478"
"sah","Yakut","саха тыла","17944"
"sat","Santali","ᱥᱟᱱᱛᱟᱲᱤ","14438"
"sc","Sardinian","sardu","7772"
"scn","Sicilian","sicilianu","26275"
"sco","Scots","Scots","34274"
"sd","Sindhi","سنڌي","20075"
"se","Northern Sami","davvisámegiella","7908"
"sg","Sango","Sängö","350"
"sgs","Samogitian","žemaitėška","17274"
"sh","Serbo-Croatian","srpskohrvatski / српскохрватски","461379"
"shi","Tachelhit","Taclḥit","10883"
"shn","Shan","တႆး","14562"
"si","Sinhala","සිංහල","25012"
"simple","Simple English","Simple English","279095"
"sk","Slovak","slovenčina","258114"
"skr","Saraiki","سرائیکی","24438"
"sl","Slovenian","slovenščina","196482"
"sm","Samoan","Gagana Samoa","1208"
"smn","Inari Sami","anarâškielâ","6517"
"sn","Shona","chiShona","11497"
"so","Somali","Soomaaliga","10417"
"sq","Albanian","shqip","105199"
"sr","Serbian","српски / srpski","715895"
"srn","Sranan Tongo","Sranantongo","1128"
"ss","Swati","SiSwati","1134"
"st","Southern Sotho","Sesotho","1631"
"stq","Saterland Frisian","Seeltersk","4130"
